age,annual_income,loan_amount,credit_score,employment_years,credit_card_count,late_payment_count,debt_income_ratio,savings_balance,property_value,dependents_count,city_tier,loan_status
26,121293,29322,816,6,7,9,0.86,15393,287275,5,1,1
23,97576,46869,886,5,3,9,0.84,36380,89913,2,2,1
33,127522,37955,577,20,4,12,0.83,46056,285237,3,3,1
46,42612,49716,599,7,3,11,0.51,89279,357963,2,1,1
20,113977,15207,888,18,8,14,0.39,98507,132168,3,1,1
37,26471,26793,434,21,1,4,0.47,5861,404824,5,1,0
53,55631,7092,879,20,7,9,0.65,37126,406936,3,3,1
36,148449,33220,446,23,1,3,0.81,81382,245982,4,2,1
43,128997,23514,789,19,0,1,0.27,92713,204557,1,2,1
20,112059,43010,777,7,9,3,0.83,34682,446076,5,3,1
36,51348,13549,458,25,2,11,0.75,19228,99875,3,1,1
37,84732,27031,683,13,8,7,0.88,25009,195991,0,3,1
49,21177,10185,462,17,2,4,0.8,1094,386091,5,3,1
24,24760,20271,740,24,8,4,0.32,81636,59586,0,2,1
58,52779,10776,488,28,6,12,0.18,53221,101986,1,3,1
50,41636,17449,714,15,9,11,0.19,99453,401992,3,3,1
57,101889,29297,638,8,0,11,0.33,18430,335199,5,1,1
56,73551,45591,480,14,9,9,0.59,36571,478106,5,1,1
35,31556,20717,587,29,4,2,0.74,55486,78807,1,2,1
57,47598,45123,486,25,8,12,0.82,91510,266992,4,1,1
18,31563,44233,437,9,2,7,0.6,97665,359321,0,3,1
28,66819,15350,429,28,8,5,0.1,63294,118625,5,3,1
45,129326,35622,493,21,4,1,0.25,21860,457458,2,3,1
42,93770,40323,615,15,8,1,0.18,73812,368461,0,2,1
40,111055,7951,443,3,9,8,0.39,67087,483194,3,1,1
48,46966,22622,315,19,5,12,0.5,9486,328577,1,3,1
47,140133,9727,601,12,8,6,0.13,84063,83282,0,1,1
59,101709,43454,722,21,6,9,0.38,50607,126519,2,1,1
52,79889,41469,544,4,6,8,0.24,10745,290346,2,1,1
24,46987,40548,406,21,7,13,0.62,79533,355722,1,1,1
33,98714,28782,387,6,6,5,0.47,19330,180843,1,2,1
43,124874,33454,428,22,8,14,0.5,41078,158333,0,2,1
19,78348,7368,640,8,8,4,0.44,56332,205205,3,2,1
18,44596,20592,303,7,5,11,0.86,55532,100317,4,3,1
29,53174,27173,626,28,6,0,0.27,91365,177878,2,3,1
22,84106,38204,709,15,1,11,0.51,44336,158745,1,3,1
54,127510,40596,605,5,8,5,0.69,9070,441374,4,2,1
49,89967,39324,524,27,0,5,0.55,2320,115950,4,1,1
26,79182,28864,647,15,0,2,0.84,90043,109612,4,2,1
58,113300,35750,620,5,2,2,0.4,39921,114873,3,3,1
52,107163,15576,858,13,5,14,0.47,7589,294469,1,3,1
36,59310,21566,480,20,4,2,0.17,65409,165792,2,1,1
33,76088,12190,685,0,1,2,0.59,93995,267850,1,2,1
20,148803,28071,407,24,8,6,0.33,16589,243074,0,1,1
37,28906,43333,830,8,9,9,0.23,37375,495724,2,2,0
41,56914,20369,709,24,3,10,0.54,44085,219451,1,3,1
50,130350,29035,595,26,3,1,0.53,61840,436958,2,1,1
41,65379,6589,470,23,4,9,0.16,44200,65231,0,1,1
28,98612,30235,630,12,7,12,0.66,99704,399529,5,2,1
25,134828,5159,792,25,9,9,0.6,27732,91163,2,2,1
53,147445,17145,494,28,3,1,0.25,98047,434024,5,2,1
55,57650,20373,311,18,4,2,0.48,23426,474892,4,3,1
57,66881,36921,494,16,3,9,0.68,31982,399736,3,2,1
37,66413,44323,789,10,5,11,0.52,60720,418708,0,3,1
52,26012,21237,481,27,2,6,0.42,17746,304467,2,2,1
42,70115,46971,615,27,7,2,0.36,29514,105535,0,2,1
52,27151,13244,329,7,5,6,0.59,65889,423096,4,3,1
42,77716,19743,895,22,9,8,0.85,4851,227182,5,2,1
46,113747,36566,395,28,4,10,0.64,20796,228050,3,3,1
35,112653,23691,680,4,1,9,0.16,77034,271890,0,3,1
63,56378,38996,743,9,9,11,0.47,63798,253441,5,2,1
35,62652,10590,597,6,9,14,0.81,99388,447968,4,2,1
19,92430,10585,660,9,6,10,0.18,63985,74507,4,1,1
52,33467,14227,673,3,1,3,0.89,35592,174225,4,2,1
33,51010,33278,853,8,0,6,0.86,45845,304295,5,1,1
58,148647,43814,602,26,6,8,0.16,16930,160282,2,2,1
53,141999,17237,720,25,4,13,0.85,22159,484711,1,3,1
50,134793,20649,545,13,0,7,0.39,96072,271538,0,3,1
21,74691,42713,536,1,3,7,0.78,90788,241958,1,1,1
50,84157,12927,833,24,3,8,0.43,25003,382703,4,2,1
31,128177,12016,484,8,9,13,0.45,36139,50982,1,1,1
38,32289,19027,767,20,6,4,0.61,53452,260913,5,2,1
37,64976,29142,662,26,8,13,0.72,23205,179128,4,2,1
25,63596,28545,582,0,1,4,0.13,97059,459362,4,3,1
24,43171,36897,852,22,0,2,0.57,57955,297105,3,1,1
20,120441,8167,635,9,1,4,0.25,8464,235915,3,3,1
34,146296,49757,461,9,6,7,0.38,83646,301762,5,3,1
50,106365,31917,459,19,9,11,0.38,73657,126737,5,3,1
29,138218,27736,773,24,5,4,0.48,10840,132446,1,1,1
39,119590,32990,621,21,3,3,0.37,41768,138567,0,2,1
39,134014,19087,311,28,0,7,0.19,10461,335780,1,2,1
63,64139,27440,723,2,0,6,0.22,21927,394994,5,1,1
47,68713,40205,372,5,4,14,0.13,90934,470548,0,2,1
55,49734,20275,887,28,0,13,0.48,99622,232506,1,1,1
55,92588,10276,500,25,6,13,0.86,16329,133866,2,1,1
62,83646,46627,821,5,0,5,0.19,16791,242343,2,2,1
25,23654,45586,804,20,0,4,0.86,53627,112726,0,3,0
44,109022,42496,338,1,1,13,0.69,15372,393045,3,1,1
44,38743,24008,359,25,9,4,0.61,93890,191180,0,1,1
51,68368,10738,877,25,2,12,0.62,49469,118896,1,1,1
38,110025,37402,620,17,0,9,0.76,88073,223625,4,1,1
47,94172,10793,734,22,8,1,0.19,35370,90880,2,2,1
50,26441,42291,707,1,9,12,0.5,52408,295392,4,2,0
45,139735,10571,685,11,7,14,0.66,91941,364221,2,1,1
64,44611,36331,868,21,4,3,0.57,24703,53625,1,3,1
50,139891,21209,377,4,1,7,0.77,16234,88237,2,2,1
22,127971,30394,493,19,4,7,0.16,8532,51223,0,3,1
36,32149,48148,584,6,5,10,0.65,36416,240375,4,3,0
21,120102,30682,826,23,0,0,0.53,73439,115197,5,1,1
52,79189,7224,823,15,3,1,0.4,19242,286486,4,2,1
34,127904,46157,455,19,8,4,0.37,51254,386837,1,1,1
61,41675,49452,639,0,1,8,0.6,80324,161555,5,1,1
45,91031,48408,424,0,4,9,0.81,36249,349904,4,3,1
47,62668,37441,579,16,0,10,0.5,96049,422318,1,3,1
46,33673,46430,427,26,3,11,0.76,86078,439336,3,3,1
63,149582,44129,613,0,3,12,0.42,33294,341168,0,1,1
23,96666,39716,631,20,5,10,0.18,60784,335346,2,1,1
52,108204,49859,449,19,9,6,0.15,4684,431558,2,1,1
58,100758,31586,753,12,8,9,0.14,24795,101524,2,1,1
54,85429,49760,335,29,2,4,0.4,61301,224980,3,1,1
41,43669,28478,719,8,8,0,0.37,70187,479283,0,1,1
46,54068,11318,321,14,5,14,0.67,11431,452576,4,1,1
63,108789,33694,505,2,6,14,0.69,76667,410372,4,1,1
48,29435,25180,655,13,9,5,0.14,90627,154755,0,2,1
52,114088,17180,739,22,1,11,0.28,91381,194013,5,2,1
50,72249,38002,395,10,9,7,0.32,91027,328137,0,2,1
38,57384,20372,463,23,5,6,0.54,56372,64620,2,2,1
49,148782,34796,447,21,5,1,0.22,71366,435415,4,1,1
40,101929,29427,829,11,1,11,0.21,95176,70193,0,1,1
50,147959,38290,593,12,1,4,0.86,73870,363703,4,3,1
20,96153,33099,494,25,1,13,0.74,48387,333392,0,3,1
35,124056,14821,779,12,9,10,0.24,53927,489068,1,2,1
42,95388,10832,422,0,0,3,0.43,10304,448243,2,3,1
59,51401,17820,699,23,4,8,0.38,18032,375554,0,2,1
48,145511,21211,751,9,7,9,0.73,92291,316404,3,1,1
20,91831,44890,403,2,1,0,0.51,60486,349740,0,1,1
57,139503,10842,761,23,4,11,0.2,66552,288148,1,3,1
63,135760,6316,695,27,7,5,0.69,74844,59012,3,1,1
41,121529,22508,636,3,9,2,0.42,30654,75823,3,1,1
49,147834,27005,898,15,4,10,0.31,40244,385995,0,2,1
64,54084,20206,441,7,1,8,0.4,6942,97027,1,3,1
39,140387,23971,616,15,2,4,0.5,51697,259239,3,1,1
40,130641,30599,857,26,5,12,0.37,3693,395938,2,3,1
19,125111,27056,826,16,4,5,0.29,57751,337243,5,1,1
44,75826,6378,855,18,3,10,0.42,82098,413571,2,2,1
59,56451,6519,700,21,3,8,0.12,7259,349136,4,1,1
19,27227,27161,609,14,4,8,0.72,5942,432086,4,3,0
43,51910,45703,794,15,1,7,0.24,48419,430030,1,3,1
34,56041,43861,855,14,8,8,0.14,57105,192049,3,2,1
57,108920,10355,408,24,1,3,0.62,66907,499450,2,1,1
50,85681,14083,671,1,9,5,0.72,28383,273302,2,2,1
26,123314,43342,505,10,1,4,0.75,24404,228448,5,3,1
60,101571,25456,342,0,9,4,0.49,73656,477194,1,2,1
56,85481,18324,544,14,8,3,0.26,6702,59218,3,1,1
46,88576,7257,586,25,2,1,0.69,74883,333932,1,1,1
59,127958,32364,654,18,9,11,0.66,57332,70501,0,2,1
43,149265,29972,775,3,6,5,0.3,40419,259061,2,3,1
52,147556,31654,382,10,3,8,0.82,91576,153733,1,3,1
42,84174,20233,409,4,5,11,0.18,89078,327354,1,2,1
41,46160,20887,489,2,3,0,0.89,74844,178476,5,1,1
30,135170,34320,550,12,9,13,0.79,40242,386369,0,1,1
24,137867,25808,590,9,6,6,0.65,35142,226561,4,1,1
53,37633,35154,500,10,0,5,0.85,97226,273989,2,1,1
62,114880,39773,625,17,2,2,0.68,8393,375865,5,3,1
37,37014,32747,810,1,2,0,0.25,70939,485869,1,1,1
18,100532,15860,708,6,0,12,0.45,70082,222022,2,2,1
25,69104,47838,807,8,5,3,0.16,29893,189988,4,2,1
63,61621,47156,371,9,8,14,0.41,10388,246983,1,2,1
33,97231,23156,546,17,7,13,0.69,63969,81449,0,2,1
31,88388,25360,886,22,6,8,0.41,37660,401477,2,1,1
29,36014,23135,865,6,9,14,0.36,90244,332926,5,3,1
40,112578,30351,643,26,7,1,0.58,25726,332387,0,1,1
32,53755,35499,353,6,5,2,0.8,80544,79379,4,3,1
45,60390,28554,827,2,8,1,0.14,63996,87780,4,1,1
51,43711,24604,831,11,2,13,0.41,1111,473956,2,3,1
19,111658,21923,857,6,9,1,0.23,18545,164944,4,2,1
49,77993,13547,492,16,9,9,0.66,41168,308446,3,2,1
40,94696,49283,357,25,8,10,0.18,3379,332128,5,3,1
39,47213,38002,736,0,3,10,0.63,96773,50050,2,3,1
42,135788,19562,410,4,6,7,0.33,88346,449806,3,3,1
39,124956,12480,428,15,8,2,0.26,42120,90205,4,2,1
39,77784,31672,625,14,1,6,0.85,18809,327306,2,2,1
59,27421,9213,307,1,1,7,0.11,53813,361890,3,1,1
23,106936,15293,328,8,8,2,0.45,75005,194177,4,3,1
32,119073,39441,411,6,2,1,0.12,28967,480715,1,3,1
60,37727,7100,430,3,8,12,0.49,10748,479857,1,3,1
54,132418,49617,487,19,4,12,0.5,24424,61628,0,2,1
50,24358,33172,774,17,5,7,0.36,87512,223104,1,3,1
25,85108,25132,663,20,1,2,0.21,24914,350660,3,3,1
61,146609,23199,503,3,7,6,0.4,96603,399301,5,2,1
61,114018,41609,511,27,8,11,0.64,79478,444692,1,3,1
22,144457,47965,575,12,1,0,0.73,20491,169558,2,1,1
56,52117,13016,372,0,5,13,0.52,50454,352944,2,2,1
21,108700,44779,542,27,5,14,0.57,71069,85788,2,2,1
23,51910,42261,401,23,7,11,0.26,52925,170754,1,2,1
62,146888,36881,470,2,9,5,0.33,90119,338384,1,1,1
49,118032,22058,487,15,4,11,0.23,38049,454138,0,2,1
47,75754,29472,740,29,8,11,0.3,28821,376342,5,2,1
64,82438,46346,385,21,0,12,0.28,96797,370883,5,2,1
52,129847,39926,775,3,8,8,0.52,30945,254674,4,2,1
57,49371,39832,351,24,9,11,0.55,18384,324233,0,1,1
33,71501,41021,410,22,6,2,0.86,29410,82600,3,3,1
30,80946,29087,342,24,3,13,0.26,78734,227248,2,3,1
59,58467,17828,510,15,2,6,0.61,64766,320311,1,2,1
47,37625,36128,499,25,9,12,0.75,95890,390496,4,1,1
36,53893,6401,325,18,5,5,0.55,8169,464380,4,2,1
34,96329,24643,598,0,0,7,0.3,41129,398109,1,3,1
36,51007,20193,376,4,2,2,0.31,98445,437684,0,3,1
45,111302,31853,436,18,1,2,0.13,4830,281609,4,1,1
43,59532,49864,319,21,8,3,0.34,57306,343559,5,3,1
54,74253,25307,739,23,2,2,0.7,87940,121895,0,2,1
